"patient_id","chain","seed","requested_start","accepted_initial_candidate","saem_start_exact_passed","saem_start_rejection_reason","warmup_acceptance","sampling_acceptance","final_beta","min_ess_x","min_ess_x_squared","min_ess_x_per_ode","saem_component_proposals","saem_component_proposal_fraction","saem_component_acceptance","saem_component_prediction_failure_rate","saem_component_invalid_rate","saem_component_prediction_failures","saem_component_nonfinite_loglik","priorcentral_component_proposals","priorcentral_component_proposal_fraction","priorcentral_component_acceptance","priorcentral_component_prediction_failure_rate","priorcentral_component_invalid_rate","priorcentral_component_prediction_failures","priorcentral_component_nonfinite_loglik","exact_prediction_calls","exact_ode_integrations","population_density_rejections","prediction_failures","nonfinite_loglik"
"3","chain_01",1840004,"saem_x","saem_x",TRUE,NA,0.308,0.326,0.41599365006998,7.06474135771198,7.06936669832265,0.00940711232717973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,751,0,0,0
"3","chain_02",1840005,"population_mean","population_mean",TRUE,NA,0.36,0.31,0.438860603695294,9.25401957702372,9.4508396100757,0.0123222630852513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,751,0,0,0
"3","chain_03",1840006,"prior_offset_01_plus","prior_offset_01_plus",TRUE,NA,0.348,0.31,0.436696614507766,8.01658894591732,8.56396731125149,0.0106745525245237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,751,0,0,0
"3","chain_04",1840007,"prior_offset_01_minus","prior_offset_01_minus",TRUE,NA,0.324,0.308,0.414131098652623,9.61821354972479,9.63462582337354,0.0128072084550264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,751,0,0,0
"6","chain_01",1850004,"saem_x","saem_x",TRUE,NA,0.372,0.37,0.454449508973842,7.08010374345039,7.10554563276162,0.00959363650874037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,738,0,13,13
"6","chain_02",1850005,"population_mean","population_mean",TRUE,NA,0.404,0.394,0.46812278961995,5.89804250078404,6.03415073313411,0.00809059327953915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,729,0,22,22
"6","chain_03",1850006,"prior_offset_01_plus","prior_offset_01_plus",TRUE,NA,0.368,0.398,0.452292555892521,8.00174581797931,8.14663474435968,0.0107985773521988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,741,0,10,10
"6","chain_04",1850007,"prior_offset_01_minus","prior_offset_01_minus",TRUE,NA,0.412,0.394,0.465746121219971,8.59630638693109,8.64816109636269,0.0119559198705578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,719,0,32,32
"16","chain_01",1860004,"saem_x","saem_x",TRUE,NA,0.516,0.478,0.557975820945792,15.0190557196341,14.534081877259,0.0202140723009881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,743,0,8,8
"16","chain_02",1860005,"population_mean","population_mean",TRUE,NA,0.544,0.484,0.575113611443771,8.55347967753439,8.57637548099413,0.011465790452459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,746,0,5,5
"16","chain_03",1860006,"prior_offset_01_plus","prior_offset_01_plus",TRUE,NA,0.512,0.49,0.556787817574415,27.1586202661575,27.3216939005861,0.036308315863847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,748,0,3,3
"16","chain_04",1860007,"prior_offset_01_minus","prior_offset_01_minus",TRUE,NA,0.564,0.496,0.5804216513674,16.381942899047,16.5625440771873,0.0219597089799558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,746,0,5,5
"20","chain_01",1870004,"saem_x","saem_x",TRUE,NA,0.632,0.586,0.630901946322404,29.2691911265989,29.1840103686059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,0,0,13,13
"20","chain_02",1870005,"population_mean","population_mean",TRUE,NA,0.652,0.598,0.632036197584459,17.841317165534,17.8435207299938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,0,0,14,14
"20","chain_03",1870006,"prior_offset_01_plus","prior_offset_01_plus",TRUE,NA,0.656,0.578,0.63340204811443,39.2140970866619,38.8699131851959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,0,0,9,9
"20","chain_04",1870007,"prior_offset_01_minus","prior_offset_01_minus",TRUE,NA,0.7,0.544,0.658067271848714,34.1955172695192,34.1940389091479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,0,0,7,7
"55","chain_01",1880004,"saem_x","saem_x",TRUE,NA,0.328,0.322,0.416603484423316,10.6820456501829,10.5434806796038,0.0143575882394931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,744,0,7,7
"55","chain_02",1880005,"population_mean","population_mean",TRUE,NA,0.408,0.33,0.468228070662718,10.6479571240002,10.5959094355844,0.0141783716697739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,751,0,0,0
